preference_key,movie_title,star_cast,rating,year,place,vote,link
4,Psicosis,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",8.508803704857987,1960,32,,/title/tt0054215/
1,El pianista,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",8.504527478112879,2002,33,,/title/tt0253474/
2,El perfecto asesino,"Luc Besson (dir.), Jean Reno, Gary Oldman",8.50068185637715,1994,34,,/title/tt0110413/
3,Parásitos,"Bong Joon Ho (dir.), Song Kang-ho, Sun-kyun Lee",8.495610208787841,2019,35,,/title/tt6751668/
4,El rey león,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons",8.4884380742963,1994,36,,/title/tt0110357/
1,Gladiador,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",8.485395411564962,2000,37,,/title/tt0172495/
2,Historia americana X,"Tony Kaye (dir.), Edward Norton, Edward Furlong",8.48450163898848,1998,38,,/title/tt0120586/
3,Sospechosos comunes,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",8.476346759629042,1995,39,,/title/tt0114814/
4,Los infiltrados,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",8.475072424419052,2006,40,,/title/tt0407887/
1,El gran truco,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",8.468062763674206,2006,41,,/title/tt0482571/
2,Casablanca,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",8.465582566670587,1942,42,,/title/tt0034583/
3,Top Gun: Maverick,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly",8.463171547172495,2022,43,,/title/tt1745960/
4,Whiplash: Música y obsesión,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons",8.460297493665426,2014,44,,/title/tt2582802/
1,Amigos intocables,"Olivier Nakache (dir.), François Cluzet, Omar Sy",8.4538019074762,2011,45,,/title/tt1675434/
2,Tiempos modernos,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.449670183823402,1936,46,,/title/tt0027977/
3,Harakiri,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama",8.448394144781128,1962,47,,/title/tt0056058/
4,Erase una vez en el oeste,"Sergio Leone (dir.), Henry Fonda, Charles Bronson",8.447785629318437,1968,48,,/title/tt0064116/
1,La tumba de las luciérnagas,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",8.447658498339587,1988,49,,/title/tt0095327/
2,La ventana indiscreta,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",8.437339409536703,1954,50,,/title/tt0047396/
3,"Alien, el 8° pasajero","Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",8.435344202288455,1979,51,,/title/tt0078748/
4,Luces de la ciudad,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",8.434279167633367,1931,52,,/title/tt0021749/
1,Cinema Paradiso,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",8.429191259433608,1988,53,,/title/tt0095765/
2,Amnesia,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",8.425987241004384,2000,54,,/title/tt0209144/
3,Apocalipsis,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",8.425162908082388,1979,55,,/title/tt0078788/
4,Los cazadores del arca perdida,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",8.411813802025218,1981,56,,/title/tt0082971/
1,Django sin cadenas,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",8.402689131191867,2012,57,,/title/tt1853728/
2,WALL·E,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",8.392634702307541,2008,58,,/title/tt0910970/
3,La vida de los otros,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",8.386306229872147,2006,59,,/title/tt0405094/
4,El ocaso de una vida,"Billy Wilder (dir.), William Holden, Gloria Swanson",8.382477323235664,1950,60,,/title/tt0043014/
1,La patrulla infernal,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",8.370675344914249,1957,61,,/title/tt0050825/
2,El resplandor,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",8.367851095729405,1980,62,,/title/tt0081505/
3,El gran dictador,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.366265316530498,1940,63,,/title/tt0032553/
4,Testigo de cargo,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",8.356629505941607,1957,64,,/title/tt0051201/
1,Avengers: Infinity War,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",8.355638149282335,2018,65,,/title/tt4154756/
2,"Alien 2, el regreso","James Cameron (dir.), Sigourney Weaver, Michael Biehn",8.344748858444355,1986,66,,/title/tt0090605/
3,Belleza americana,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.33797609617634,1999,67,,/title/tt0169547/
4,Dr Insólito o Cómo aprendí a no preocuparme y amar la bomba,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",8.33372800850392,1964,68,,/title/tt0057012/
1,Batman: El caballero de la noche asciende,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",8.328692225172952,2012,69,,/title/tt1345836/
2,Spider-Man: Un nuevo universo,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",8.328485336919243,2018,70,,/title/tt4633694/
3,Guasón,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",8.319864041538246,2019,71,,/title/tt7286456/
4,Oldboy: Cinco días para vengarse,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-Tae",8.319824216342685,2003,72,,/title/tt0364569/
1,Corazón valiente,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.315507660069851,1995,73,,/title/tt0112573/
2,Amadeus,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",8.315361415138705,1984,74,,/title/tt0086879/
3,Toy Story,"John Lasseter (dir.), Tom Hanks, Tim Allen",8.314578876773421,1995,75,,/title/tt0114709/
4,Coco,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.31225840471468,2017,76,,/title/tt2380307/
1,El submarino,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.311812499813469,1981,77,,/title/tt0082096/
2,Bastardos sin gloria,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.310871869528818,2009,78,,/title/tt0361748/
3,La princesa Mononoke,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",8.303735883740462,1997,79,,/title/tt0119698/
4,Avengers: Endgame,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",8.301027157191841,2019,80,,/title/tt4154796/
1,Érase una vez en América,"Sergio Leone (dir.), Robert De Niro, James Woods",8.300704009458503,1984,81,,/title/tt0087843/
2,Mente indomable,"Gus Van Sant (dir.), Robin Williams, Matt Damon",8.286563231456565,1997,82,,/title/tt0119217/
3,Réquiem por un sueño,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",8.276887242076945,2000,83,,/title/tt0180093/
4,Toy Story 3,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",8.276601734369864,2010,84,,/title/tt0435761/
1,Your Name,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",8.274384684129886,2016,85,,/title/tt5311514/
2,Cantando bajo la lluvia,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",8.27374069007637,1952,86,,/title/tt0045152/
3,3 Idiots,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.2688084311765,2009,87,,/title/tt1187043/
4,El regreso del Jedi,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.268137026672235,1983,88,,/title/tt0086190/
1,2001: odisea del espacio,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",8.2654215501797,1968,89,,/title/tt0062622/
2,Eterno resplandor de una mente sin recuerdos,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",8.264674702398327,2004,90,,/title/tt0338013/
3,Perros de reserva,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.264604336248961,1992,91,,/title/tt0105236/
4,Cielo e infierno,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",8.263145978861841,1963,92,,/title/tt0057565/
1,Cafarnaúm: la ciudad olvidada,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",8.258796648035327,2018,93,,/title/tt8267604/
2,El ciudadano Kane,"Orson Welles (dir.), Orson Welles, Joseph Cotten",8.25795690132952,1941,94,,/title/tt0033467/
3,Lawrence de Arabia,"David Lean (dir.), Peter O'Toole, Alec Guinness",8.256465078821867,1962,95,,/title/tt0056172/
4,Jagten,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",8.254986768121789,2012,96,,/title/tt2106476/
1,Intriga internacional,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.253814612434333,1959,97,,/title/tt0053125/
2,M el maldito,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.253811567902583,1931,98,,/title/tt0022100/
3,De entre los muertos,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.248041327878823,1958,99,,/title/tt0052357/
4, Amelie,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",8.246294559472988,2001,10,,/title/tt0211915/
1,Naranja mecánica,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",8.244747741033953,1971,101,,/title/tt0066921/
2,Ven y mira,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",8.243494709736733,1985,102,,/title/tt0091251/
3,Cara de guerra,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",8.240198810869797,1987,103,,/title/tt0093058/
4,Pacto de sangre,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",8.238059675320095,1944,104,,/title/tt0036775/
1,Piso de soltero,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",8.237119107537302,1960,105,,/title/tt0053604/
2,Caracortada,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",8.23515355994085,1983,106,,/title/tt0086250/
3,Ikiru - Vivir,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",8.230451341131358,1952,107,,/title/tt0044741/
4,El golpe,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.229126291391676,1973,108,,/title/tt0070735/
1,Matar a un ruiseñor,"Robert Mulligan (dir.), Gregory Peck, John Megna",8.228930471751788,1962,109,,/title/tt0056592/
2,Taxi Driver,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",8.228092435592362,1976,110,,/title/tt0075314/
3,Los Ángeles al desnudo,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",8.224945437030124,1997,111,,/title/tt0119488/
4,"Up, una aventura de altura","Pete Docter (dir.), Edward Asner, Jordan Nagai",8.224345052024969,2009,112,,/title/tt1049413/
1,Fuego contra fuego,"Michael Mann (dir.), Al Pacino, Robert De Niro",8.223254335005207,1995,113,,/title/tt0113277/
2,Hamilton,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo",8.221677276752603,2020,114,,/title/tt8503618/
3,Metrópolis,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.220977618125524,1927,115,,/title/tt0017136/
4,Snatch: Cerdos y diamantes,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",8.220524460216758,2000,116,,/title/tt0208092/
1,Una separación,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",8.220494708227111,2011,117,,/title/tt1832382/
2,Duro de matar,"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.220302422547787,1988,118,,/title/tt0095016/
3,La mujer que cantaba,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",8.219497933336113,2010,119,,/title/tt1255953/
4,Indiana Jones y la última cruzada,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",8.218419328577657,1989,120,,/title/tt0097576/
1,Ladrones de bicicletas,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.217623688948217,1948,121,,/title/tt0040522/
2,Spider-Man: sin camino a casa,"Jon Watts (dir.), Tom Holland, Zendaya",8.214534819840397,2021,122,,/title/tt10872600/
3,1917,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",8.212241257542326,2019,123,,/title/tt8579674/
4,Like stars on Earth,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.206079147081882,2007,124,,/title/tt0986264/
1,La caída,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.204627338048592,2004,125,,/title/tt0363163/
2,Por unos dólares más,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",8.203426386580173,1965,126,,/title/tt0059578/
3,Batman inicia,"Christopher Nolan (dir.), Christian Bale, Michael Caine",8.20224956899958,2005,127,,/title/tt0372784/
4,Dangal,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.197618441935916,2016,128,,/title/tt5074352/
1,El chiquillo,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",8.194497881334085,1921,129,,/title/tt0012349/
2,Una Eva y dos Adanes,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",8.191481153386633,1959,130,,/title/tt0053291/
3,Everything Everywhere All at Once,"Dan Kwan (dir.), Michelle Yeoh, Stephanie Hsu",8.184487123950493,2022,131,,/title/tt6710474/
4,El Padre,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman",8.182692409163687,2020,132,,/title/tt10272386/
1,La malvada,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",8.180049688465663,1950,133,,/title/tt0042192/
2,Green Book: Una amistad sin fronteras,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",8.174380669365076,2018,134,,/title/tt6966692/
3,El lobo de Wall Street,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",8.171431169643995,2013,135,,/title/tt0993846/
4,Juicio en Nuremberg,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",8.168694623624836,1961,136,,/title/tt0055031/
1,Los imperdonables,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",8.164642670042555,1992,137,,/title/tt0105695/
2,Casino,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",8.163767496902514,1995,138,,/title/tt0112641/
3,Ran,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",8.163608352179777,1985,139,,/title/tt0089881/
4,El laberinto del fauno,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",8.163466838668802,2006,140,,/title/tt0457430/
1,Petróleo sangriento,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",8.154844734969323,2007,141,,/title/tt0469494/
2,El sexto sentido,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",8.153763618639772,1999,142,,/title/tt0167404/
3,Una mente brillante,"Ron Howard (dir.), Russell Crowe, Ed Harris",8.153197216999542,2001,143,,/title/tt0268978/
4,Monty Python and the Holy Grail,"Terry Gilliam (dir.), Graham Chapman, John Cleese",8.15279298188811,1975,144,,/title/tt0071853/
1,The Truman Show: Historia de una vida,"Peter Weir (dir.), Jim Carrey, Ed Harris",8.151712730947404,1998,145,,/title/tt0120382/
2,Yojimbo,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",8.14889976331646,1961,146,,/title/tt0055630/
3,El tesoro de la Sierra Madre,"John Huston (dir.), Humphrey Bogart, Walter Huston",8.147995283709687,1948,147,,/title/tt0040897/
4,La isla siniestra,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",8.142829558252481,2010,148,,/title/tt1130884/
1,Rashomon,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",8.142728324188605,1950,149,,/title/tt0042876/
2,El gran escape,"John Sturges (dir.), Steve McQueen, James Garner",8.14238394750327,1963,150,,/title/tt0057115/
3,Parque jurásico,"Steven Spielberg (dir.), Sam Neill, Laura Dern",8.140729331029457,1993,151,,/title/tt0107290/
4,Kill Bill Vol 1,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",8.137352913623545,2003,152,,/title/tt0266697/
1,Sin lugar para los débiles,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",8.135453038667471,2007,153,,/title/tt0477348/
2,Buscando a Nemo,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",8.131258645874697,2003,154,,/title/tt0266543/
3,El hombre elefante,"David Lynch (dir.), Anthony Hopkins, John Hurt",8.130972077207307,1980,155,,/title/tt0080678/
4,El toro salvaje,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",8.129863444784522,1980,156,,/title/tt0081398/
1,Barrio Chino,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",8.129336977309286,1974,157,,/title/tt0071315/
2,Lo que el viento se llevó,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",8.127017274137117,1939,158,,/title/tt0031381/
3,V de Venganza,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",8.126072284896916,2005,159,,/title/tt0434409/
4,La cosa del otro mundo,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",8.12462109478052,1982,160,,/title/tt0084787/
1,Intensa Mente,"Pete Docter (dir.), Amy Poehler, Bill Hader",8.12458139342235,2015,161,,/title/tt2096673/
2,"Juegos, trampas y dos armas humeantes","Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",8.12352259791942,1998,162,,/title/tt0120735/
3,Con M de Muerte,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",8.11916013139646,1954,163,,/title/tt0046912/
4,El secreto de sus ojos,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",8.117850179669318,2009,164,,/title/tt1305806/
1,El puente sobre el río Kwai,"David Lean (dir.), William Holden, Alec Guinness",8.114480502348322,1957,165,,/title/tt0050212/
2,El increíble castillo vagabundo,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",8.114395045133904,2004,166,,/title/tt0347149/
3,Tres anuncios por un crimen,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",8.11167881582053,2017,167,,/title/tt5027774/
4,La vida en el abismo,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",8.111627307439006,1996,168,,/title/tt0117951/
1,Gran Torino,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",8.105323010359392,2008,169,,/title/tt1205489/
2,La última pelea,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",8.105010095400417,2011,170,,/title/tt1291584/
3,"Fargo, secuestro voluntario","Joel Coen (dir.), William H. Macy, Frances McDormand",8.103419491505237,1996,171,,/title/tt0116282/
4,Mi vecino Totoro,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",8.095414508668725,1988,172,,/title/tt0096283/
1,Intriga,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",8.09503213788879,2013,173,,/title/tt1392214/
2,Golpes del destino,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",8.090036034906625,2004,174,,/title/tt0405159/
3,La quimera del oro,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",8.087873593083541,1925,175,,/title/tt0015864/
4,Blade Runner,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",8.087055287802531,1982,176,,/title/tt0083658/
1,Atrápame si puedes,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",8.086150356854835,2002,177,,/title/tt0264464/
2,Nido de ratas,"Elia Kazan (dir.), Marlon Brando, Karl Malden",8.084449210392865,1954,178,,/title/tt0047296/
3,El tercer hombre,"Carol Reed (dir.), Orson Welles, Joseph Cotten",8.082500553721536,1949,179,,/title/tt0041959/
4,Los niños del cielo,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",8.080706658594181,1997,180,,/title/tt0118849/
1,Ben-Hur,"William Wyler (dir.), Charlton Heston, Jack Hawkins",8.078825394877542,1959,181,,/title/tt0052618/
2,12 años esclavo,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",8.07810322145479,2013,182,,/title/tt2024544/
3,El general,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",8.077646929146567,1926,183,,/title/tt0017925/
4,Perdida,"David Fincher (dir.), Ben Affleck, Rosamund Pike",8.0773170943015,2014,184,,/title/tt2267998/
1,Las fresas silvestres,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",8.077286889164322,1957,185,,/title/tt0050986/
2,Antes del amanecer,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.076618020286801,1995,186,,/title/tt0112471/
3,El francotirador,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",8.075893991230787,1978,187,,/title/tt0077416/
4,Harry Potter y las reliquias de la muerte 2,"David Yates (dir.), Daniel Radcliffe, Emma Watson",8.075783477036728,2011,188,,/title/tt1201607/
1,En el nombre del padre,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",8.074344531011029,1993,189,,/title/tt0107207/
2,El gran hotel Budapest,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",8.072439030861402,2014,190,,/title/tt2278388/
3,Caballero sin espada,"Frank Capra (dir.), James Stewart, Jean Arthur",8.071236292517762,1939,191,,/title/tt0031679/
4,El salario del miedo,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",8.070090037180872,1953,192,,/title/tt0046268/
1,Barry Lyndon,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",8.06946520874173,1975,193,,/title/tt0072684/
2,Sherlock Jr,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",8.0690729180596,1924,194,,/title/tt0015324/
3,Salinui chueok,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung",8.068303368196512,2003,195,,/title/tt0353969/
4,Room,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",8.067480531567497,2015,196,,/title/tt3170832/
1,Hasta el último hombre,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",8.067121825228844,2016,197,,/title/tt2119532/
2,Klaus,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",8.066818928246873,2019,198,,/title/tt4729430/
3,El séptimo sello,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",8.066264745225068,1957,199,,/title/tt0050976/
4,Relatos salvajes,"Damián Szifron (dir.), Darío Grandinetti, María Marull",8.06485498488202,2014,200,,/title/tt3011894/
1,Identidad peligrosa,"Joel Coen (dir.), Jeff Bridges, John Goodman",8.062832115454016,1998,201,,/title/tt0118715/
2,Cómo entrenar a tu dragón,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",8.061967760985866,2010,202,,/title/tt0892769/
3,Mad Max: Furia en el camino,"George Miller (dir.), Tom Hardy, Charlize Theron",8.061799496356205,2015,203,,/title/tt1392190/
4,Mary and Max,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",8.060312752355454,2009,204,,/title/tt0978762/
1,"Monsters, Inc","Pete Docter (dir.), Billy Crystal, John Goodman",8.058542655599103,2001,205,,/title/tt0198781/
2,Tiburón,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw",8.057878312319879,1975,206,,/title/tt0073195/
3,La passion de Jeanne dArc,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",8.055576925033176,1928,207,,/title/tt0019254/
4,Hotel Ruanda,"Terry George (dir.), Don Cheadle, Sophie Okonedo",8.052923146555145,2004,208,,/title/tt0395169/
